,iv_surface,skew,slope,log_returns
1781,"[[5.48667508 3.91059718 1.84751462 0.53869147        nan]
 [5.53316535 4.08776277 1.93560111 0.33040826 0.73697571]
 [5.89348456 3.88593257 1.92130701 0.83579814 0.39565664]
 [6.65579817 3.92626822 1.52101253 0.54762515 0.5733311 ]
 [6.86339076 2.87812689 2.07672913 0.20337368        nan]]",0.1683089996137901,0.14112802232907518,0.0018002269862668024
1782,"[[5.95550473 4.38442789 2.87105393 1.81989019 1.03525992]
 [5.93614679 3.73365464 2.87109657 1.57811264 0.83082547]
 [5.93575157 3.95756372 2.41509358 2.13866073 1.02738088]
 [5.8660006  4.42645235 3.32195381 1.8382352  1.14072547]
 [6.27610504 4.69184756 2.79703676 1.91582724 1.05333406]]",-2.0278452361909647,-0.07405981464780131,0.0006696341837798792
1783,"[[5.79094717 4.26739662 2.51556678 1.64911254 0.8000503 ]
 [5.6560262  4.0456709  3.03889769 1.81293411 0.85392859]
 [6.35736107 4.3320763  2.75945613 1.78859882 0.98796554]
 [5.86553236 4.21578729 2.88702425        nan 0.94626117]
 [6.03370483 4.18344879        nan 1.94024745 1.03652879]]",,,-0.0008632679766120889
1784,"[[5.80506244 3.88038222 2.46265859        nan 0.41890925]
 [       nan 4.3335923  2.47124603 1.37079262 0.7262017 ]
 [5.44743884 3.9056846  2.59636351 1.45366439        nan]
 [5.78107597 4.23242315 2.51480588 1.62596321 0.63150952]
 [6.21120591 4.07928356 3.10872922 1.38409351 0.48694991]]",-1.211575902632548,0.6374831925779114,0.0031151346010982735
1785,"[[5.14384994 1.76718165        nan 0.15268395        nan]
 [5.11860776 2.14212299 0.29555541        nan 0.39544076]
 [5.58931783 3.20093556 1.10896877 0.05885667 0.43035262]
 [5.05940299 3.23702175 1.03675663 0.21769527 0.38930908]
 [6.01933211 2.85644395 0.80622279 0.1591163  0.33411348]]",0.47290660657837513,0.5106673772723619,0.0009232273017667465
1786,"[[       nan 2.77424693 1.39961058 0.47541144 0.44152528]
 [6.43953513 3.64514648 1.61235555 0.48216692 0.87347207]
 [5.72648826        nan        nan 0.46813016        nan]
 [5.752257   3.57734431 2.11191004 0.         0.64792628]
 [5.39431452 3.97609281 1.93133572 0.19863431        nan]]",-0.3232378814115098,0.3189801699649688,0.00047251652751281444
1787,"[[4.96743792 3.95671543 2.99860689 1.25580918 0.33496677]
 [5.74881244 3.46548094 2.60549475 1.39959331 0.31754385]
 [6.09278878 4.2936842         nan 1.19127734        nan]
 [5.77422494 4.02060064 2.50284508 0.98396337 0.11904381]
 [5.91093269 3.72976614 2.04939041 1.14889149 0.66168643]]",-0.9845264427734335,-0.5561043340653042,-0.0011339363957051064
1788,"[[5.64708406 2.63210375 0.03889705 0.10874499 0.21793392]
 [5.28657674 1.7288847  0.00586576 0.14584811 0.19073359]
 [4.96137127        nan 0.04811612 0.13675715 0.25279708]
 [5.67647691 1.64455007 0.05121879 0.16551281        nan]
 [4.92395527        nan 0.16087191 0.14386346 0.23451843]]",0.6882998442162376,0.15500615007290172,-0.0015213826047482991
1789,"[[4.35424038 0.23225238 0.6395115         nan 1.4467468 ]
 [3.15752234 0.61889212 0.83983202 1.15302144 1.39592996]
 [5.10808503 0.93170312        nan 1.02932079 1.33064305]
 [4.88107851 0.59319401 0.66869363 1.15783468        nan]
 [5.34083381 0.37510282 0.48835919 0.94787041 1.39829543]]",-0.9510139627344444,-0.35147283482586955,0.0001850436258537903
1790,"[[6.28677619 4.1753273  3.04869209 1.71591541        nan]
 [6.4793995  4.82252564        nan 1.88145367 0.6697128 ]
 [6.68939653 4.43232803 2.67486715 1.84485137 0.72480068]
 [6.13214083 4.6573814  2.50663876 1.53883783 1.17177924]
 [5.66290517 4.19305527 3.19408948 1.68395031 1.02929853]]",-0.9473669756056262,,0.0070543587693300555
1791,"[[5.9254562  3.76130121 1.80095639 0.13375323 0.59653972]
 [5.78164386 4.10777034 1.87337678 0.52728213        nan]
 [6.1976548  3.99192791 2.13014133 0.79853244 0.60474139]
 [5.68320657 3.50549664 2.28916817 0.79445132        nan]
 [6.07122458 3.41278098 1.80632373 0.73928827 0.44914204]]",-0.9336455044375889,-0.06705304840111559,0.0017818100055052165
1792,"[[5.01388054 2.68829264 0.78953628 0.22413138 0.55411521]
 [5.16311117 3.76448898 1.0020649         nan 0.4194201 ]
 [5.44853742 2.52055885        nan 0.30367197 0.37383264]
 [6.07752523 3.06947007 1.01611239 0.14179529 0.47463592]
 [6.33739637 3.14264801 0.93484469 0.09862422 0.60483425]]",0.44772499408826616,-0.0672202033160546,0.0019239181226094301
1793,"[[6.00712778 3.96300484 2.99452519 1.4299172  0.58857549]
 [6.0044124  4.09923567 2.16534508        nan        nan]
 [5.62465416 4.29515309 2.87185119 1.69488017 1.11348185]
 [6.41912262 4.85756731 2.51212738 1.75282426 0.64690123]
 [6.20802523 3.79134547 2.7164368  1.77246573 0.83723487]]",-0.959755862012859,0.5510917169971132,-0.003111150086752312
1794,"[[4.70870605 1.1032509         nan 1.36756768 1.59960465]
 [3.2568249  2.08603852 0.75093396        nan 1.66931937]
 [4.3072476  1.683943   0.97015488 1.16893638 1.94584646]
 [4.24276245 0.2831345  0.64869071        nan 1.85950423]
 [5.59198475 0.22623432 0.65380188        nan 1.70540469]]",,-0.09713208131726925,0.0021296798410155894
1795,"[[6.34354962 4.16751204 2.32971623 1.2181284  0.21961464]
 [6.30089003 4.08319501 2.12506951 1.68256045 0.52583628]
 [5.70368473 4.05680316 2.56091061 1.03599664 0.45606992]
 [5.54479576 3.76301405 2.65001475        nan 0.33528339]
 [5.97331195 4.7419741  2.63546883 1.22310673 0.6402563 ]]",,0.5103993191828451,0.003018190998681695
1796,"[[5.986818   4.13322103 2.31176744 0.76553041 0.69526842]
 [5.45478118 3.93071626 1.79384578 0.97048655 0.27591675]
 [5.51193078 2.97289706 1.63568015        nan        nan]
 [5.62043509 4.16459711 2.3238068  0.26523876        nan]
 [6.18962816 3.05776858 2.20188146 0.65300988 0.39340827]]",-0.37412762810372757,0.4080356792513542,0.0009287446100968152
1797,"[[5.58378181 3.33345527 0.79355779 0.06202288 0.47200526]
 [5.92984329 2.50237062 1.81610764 0.11113712 0.291097  ]
 [5.37243672 4.012167   0.29903051 0.16469986 0.37141952]
 [5.30157465        nan 0.97046399 0.07391187        nan]
 [4.99664849 2.91929344 1.15310481        nan 0.35540929]]",,-0.663002830641096,-0.00263597466534386
1798,"[[4.98406329 2.71610638 0.08523005        nan 0.6730106 ]
 [5.31003897 2.9895244  0.99410849 0.23583574        nan]
 [6.51449324 1.93230818 0.09400162 0.48536926 0.70703036]
 [5.45139462 2.35646283 0.4484592  0.36400439        nan]
 [4.68511726        nan 0.27641093 0.42583763 0.73348308]]",0.5477700207198823,-0.7176975559240579,-0.0009838913605450625
